;label;id;fnvalue
16;car/charismaLevel/Abgesenkt';/car/charismaLevel';Abgesenkt
15;car/charismaLevel/Lift';/car/charismaLevel';Lift
172;car/charismaLevel/Mittel';/car/charismaLevel';Mittel
99;car/charismaLevel/Tief';/car/charismaLevel';Tief
17;car/ESS/on';/car/eSound';Normal
173;car/Start/ParkAssistant';/main/buttonPress';half-and-half-screen_AssistMainScreen::assist-main_AssistMainHost
150;clima/AC/ECO';/main/buttonPress';full-screen_AirHostFullScreen::bar-section-item_ClimateButtonBarAcEcoBarItem
24;clima/AC/off';/climate/airConditioning';off
13;clima/AC/on';/climate/airConditioning';on
0;media/selectedSource/Bluetooth';/media/selectedSource';Andy iPhone 8::IPOD
6;media/selectedSource/Bluetooth';/media/selectedSource';iPhone 6 Frieda::IPOD
19;media/selectedSource/Bluetooth';/media/selectedSource';iPhone Nellsoon::BTIPOD
20;media/selectedSource/Bluetooth';/media/selectedSource';Emely 🦖::IPOD
32;media/selectedSource/Bluetooth';/media/selectedSource';iPhone::BTIPOD
33;media/selectedSource/Bluetooth';/media/selectedSource';Bluetooth::BLUETOOTH
36;media/selectedSource/Bluetooth';/media/selectedSource';Andy iPhone 8::BTIPOD
45;media/selectedSource/Bluetooth';/media/selectedSource';iPhone::IPOD
100;media/selectedSource/Bluetooth';/media/selectedSource';Memos iPhone::BTIPOD
108;media/selectedSource/Bluetooth';/media/selectedSource';PAG iPhone Yazici::IPOD
114;media/selectedSource/Bluetooth';/media/selectedSource';iPhone (6)::IPOD
115;media/selectedSource/Bluetooth';/media/selectedSource';iPhone von SC::IPOD
117;media/selectedSource/Bluetooth';/media/selectedSource';iPhone von SC::BTIPOD
130;media/selectedSource/Bluetooth';/media/selectedSource';iPhone von Ann-Kathrin::BTIPOD
132;media/selectedSource/Bluetooth';/media/selectedSource';iPhone von Ann-Kathrin::IPOD
133;media/selectedSource/Bluetooth';/media/selectedSource';iPhone von Philipp ::IPOD
251;media/selectedSource/Bluetooth';/media/selectedSource';iPhone (2)::BTIPOD
281;media/selectedSource/Bluetooth';/media/selectedSource';iPhone von kevin Dienst::BTIPOD
316;media/selectedSource/Bluetooth';/media/selectedSource';iPhone gesch FM::BTIPOD
317;media/selectedSource/Bluetooth';/media/selectedSource';RSE C26F::BLUETOOTH
352;media/selectedSource/Bluetooth';/media/selectedSource';iPhone FM::BTIPOD
364;media/selectedSource/Bluetooth';/media/selectedSource';iPhone Sophia (2)::IPOD
371;media/selectedSource/Bluetooth';/media/selectedSource';SW::BTIPOD
375;media/selectedSource/Bluetooth';/media/selectedSource';iPad von Stefan::IPOD
425;media/selectedSource/Bluetooth';/media/selectedSource';iPhone Sarah::IPOD
192;media/selectedSource/CarPlay';/media/selectedSource';Apple CarPlay::APPLE_CARPLAY
2;media/selectedSource/Favorite';/media/selectedSource';Favoriten::TUNER_FAVORITES
1;media/selectedSource/Radio';/media/context';Radio
4;navi/Start/Address';/navi/onDestinationSelect';Porschestraße 911, Weissach
8;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""BW"",""countryAbbreviation"":""D"",""street"":""<span class=\""text-highlight\"">Krummbachtal</span>"",""housenumber"":""3"",""city"":""Gerlingen"",""zipCode"":""70839"",""poiName"":""Waldgasthaus <span class=\""text-highlight\"">Krummbachtal</span>"",""country"":""Deutschland}}"
9;navi/Start/Address';/navi/onDestinationSelect';Im Steinbergle 3, Leonberg
10;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""Basel-Stadt"",""countryAbbreviation"":""CH"",""city"":""<span class=\""text-highlight\"">Riehen</span>"",""zipCode"":""4125"",""country"":""Schweiz}}"
11;navi/Start/Address';/navi/onDestinationSelect';Wurzelbrunnenstraße 7, Ihringen
12;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""Baden-Württemberg"",""countryAbbreviation"":""D"",""city"":""<span class=\""text-highlight\"">Bö&#8205</span>tzingen"""",""""zipCode"""":""""79268"""",""""country"""":""""Deutschland}}"""
14;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""Baden-Württemberg"",""countryAbbreviation"":""D"",""street"":""Schloßmattenstraße"",""housenumber"":""5"",""city"":""Bötzingen"",""zipCode"":""79268"",""cityPart"":""Oberschaffhausen"",""poiName"":""<span class=\""text-highlight\"">REWE</span>"",""country"":""Deutschland"",""poiCategoryName"":""<span class=\""text-highlight\"">REWE</span>"",""poiCategory"":""<span class=\""text-highlight\"">REWE</span>"",""poiNameCategory"":""<span class=\""text-highlight\"">REWE</span> (<span class=\""text-highlight\"">REWE</span>)}}"
18;navi/Start/Address';/navi/onDestinationSelect';Faulerstraße 1, Freiburg im Breisgau
21;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""Baden-Württemberg"",""countryAbbreviation"":""D"",""city"":""<span class=\""text-highlight\"">Breisach</span> <span class=\""text-highlight\"">am</span> <span class=\""text-highlight\"">Rhein</span>"",""zipCode"":""79206"",""country"":""Deutschland}}"
22;navi/Start/Address';/navi/onDestinationSelect';"{""countryAbbreviation"":""D"",""street"":""Steinbeisstr."",""housenumber"":""1"",""city"":""Leonberg"",""zipCode"":""71229"",""poiName"":""EnBW Steinbeisstraße DM drogerie markt (50kW)"",""poiCategoryName"":""DC Laden"",""poiCategory"":""DC Laden"",""poiNameCategory"":""EnBW Steinbeisstraße DM drogerie markt (50kW) (DC Laden)}}"
25;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""Baden-Württemberg"",""countryAbbreviation"":""D"",""street"":""Hoher Rain"",""housenumber"":""1"",""city"":""Denkendorf"",""zipCode"":""73770"",""poiName"":""<span class=\""text-highlight\"">ION&#8205</span>ITY Denkendorf Nord (350kW)"""",""""country"""":""""Deutschland"""",""""poiCategoryName"""":""""<span class=\""""text-highlight\"""">Schnellladen</span>"""",""""poiCategory"""":""""<span class=\""""text-highlight\"""">Schnellladen</span>"""",""""poiNameCategory"""":""""<span class=\""""text-highlight\"""">ION&#8205</span>ITY Denkendorf Nord (350kW) (<span class=\""""text-highlight\"""">Schnellladen</span>)}}"""
26;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""Baden-Württemberg"",""countryAbbreviation"":""D"",""street"":""Stockfeld"",""housenumber"":""2"",""city"":""Mahlberg"",""zipCode"":""77972"",""poiName"":""<span class=\""text-highlight\"">ION&#8205</span>ITY <span class=\""""text-highlight\"""">A5</span> Mahlberg Ost (350kW)"""",""""country"""":""""Deutschland"""",""""poiCategoryName"""":""""<span class=\""""text-highlight\"""">Schnellladen</span>"""",""""poiCategory"""":""""<span class=\""""text-highlight\"""">Schnellladen</span>"""",""""poiNameCategory"""":""""<span class=\""""text-highlight\"""">ION&#8205</span>ITY <span class=\""""text-highlight\"""">A5</span> Mahlberg Ost (350kW) (<span class=\""""text-highlight\"""">Schnellladen</span>)}}"""
27;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""Baden-Württemberg"",""countryAbbreviation"":""D"",""street"":""Lustgartenstraße"",""housenumber"":""5"",""city"":""Weil am Rhein"",""zipCode"":""79576"",""poiName"":""EnBW A5 Deutscher Rasthof Weil am Rhein 1 (100kW)"",""poiCategoryName"":""HPC Laden"",""poiCategory"":""HPC Laden"",""poiNameCategory"":""EnBW A5 Deutscher Rasthof Weil am Rhein 1 (100kW) (HPC Laden)}}"
