,window_id,item_id_seq_train,item_id_target,wrong_time_delta_interaction,session,dup_check,dup_item_id_seq_train_list,item_id_sum,dup_id
1265,1265,1 15 2,7,0 0 0,1401.0,1 15 2_7,"[1, 15, 2]",18,0
1361,1361,1 15 2,7,0 0 0,1565.0,1 15 2_7,"[1, 15, 2]",18,0
1362,1362,1 15,2,0 0,1565.0,1 15_2,"[1, 15]",16,1
1266,1266,1 15,2,0 0,1401.0,1 15_2,"[1, 15]",16,1
1024,1024,1 15,7,0 0,1311.0,1 15_7,"[1, 15]",16,2
1172,1172,1 15,7,0 0,1375.0,1 15_7,"[1, 15]",16,2
672,672,1 18 5 3 2,2,0 0 0 0 0,1062.0,1 18 5 3 2_2,"[1, 18, 5, 3, 2]",29,3
673,673,1 18 5 3 2,2,0 0 0 0 0,1062.0,1 18 5 3 2_2,"[1, 18, 5, 3, 2]",29,3
674,674,1 18 5 3 2,2,0 0 0 0 0,1062.0,1 18 5 3 2_2,"[1, 18, 5, 3, 2]",29,3
675,675,1 18 5 3 2,2,0 0 0 0 0,1062.0,1 18 5 3 2_2,"[1, 18, 5, 3, 2]",29,3
676,676,1 18 5 3 2,2,0 0 0 0 0,1062.0,1 18 5 3 2_2,"[1, 18, 5, 3, 2]",29,3
677,677,1 18 5 3 2,2,0 0 0 0 0,1062.0,1 18 5 3 2_2,"[1, 18, 5, 3, 2]",29,3
623,623,1 2 3 2,2,0 0 0 0,926.0,1 2 3 2_2,"[1, 2, 3, 2]",8,4
624,624,1 2 3 2,2,0 0 0 0,926.0,1 2 3 2_2,"[1, 2, 3, 2]",8,4
625,625,1 2 3 2,2,0 0 0 0,926.0,1 2 3 2_2,"[1, 2, 3, 2]",8,4
626,626,1 2 3 2,2,0 0 0 0,926.0,1 2 3 2_2,"[1, 2, 3, 2]",8,4
627,627,1 2 3 2,2,0 0 0 0,926.0,1 2 3 2_2,"[1, 2, 3, 2]",8,4
628,628,1 2 3 2,2,0 0 0 0,926.0,1 2 3 2_2,"[1, 2, 3, 2]",8,4
629,629,1 2 3 2,2,0 0 0 0,926.0,1 2 3 2_2,"[1, 2, 3, 2]",8,4
613,613,1 2 3,2,0 0 0,904.0,1 2 3_2,"[1, 2, 3]",6,5
630,630,1 2 3,2,0 0 0,926.0,1 2 3_2,"[1, 2, 3]",6,5
182,182,1 2,1,0 0,459.0,1 2_1,"[1, 2]",3,6
548,548,1 2,1,0 0,817.0,1 2_1,"[1, 2]",3,6
591,591,1 2,1,0 0,856.0,1 2_1,"[1, 2]",3,6
370,370,1 2,2,0 0,724.0,1 2_2,"[1, 2]",3,7
592,592,1 2,2,0 0,856.0,1 2_2,"[1, 2]",3,7
488,488,1 2,2,0 0,788.0,1 2_2,"[1, 2]",3,7
549,549,1 2,2,0 0,817.0,1 2_2,"[1, 2]",3,7
632,632,1 2,2,0 0,926.0,1 2_2,"[1, 2]",3,7
487,487,1 2,2,0 0,788.0,1 2_2,"[1, 2]",3,7
