,Topic,ID,FunctionValue,Label
156,pnc/interactionData/interactionEvent,/car/eSound,Normal,car/ESS/on
1030,pnc/interactionData/interactionEvent,/main/buttonPress,half-and-half-screen_AssistMainScreen::assist-main_AssistMainHost,car/Start/ParkAssistant
155,pnc/interactionData/interactionEvent,/car/charismaLevel,Abgesenkt,car/charismaLevel/Abgesenkt
154,pnc/interactionData/interactionEvent,/car/charismaLevel,Lift,car/charismaLevel/Lift
1150,pnc/interactionData/interactionEvent,/car/charismaLevel,Mittel,car/charismaLevel/Mittel
95,pnc/interactionData/interactionEvent,/car/charismaLevel,Tief,car/charismaLevel/Tief
360,pnc/interactionData/interactionEvent,/main/buttonPress,full-screen_AirHostFullScreen::bar-section-item_ClimateButtonBarAcEcoBarItem,clima/AC/ECO
242,pnc/interactionData/interactionEvent,/climate/airConditioning,off,clima/AC/off
128,pnc/interactionData/interactionEvent,/climate/airConditioning,on,clima/AC/on
419,pnc/interactionData/interactionEvent,/media/selectedSource,Andy iPhone 8::BTIPOD,media/selectedSource/Bluetooth
833,pnc/interactionData/interactionEvent,/media/selectedSource,iPhone::IPOD,media/selectedSource/Bluetooth
221,pnc/interactionData/interactionEvent,/media/selectedSource,iPad von Stefan::IPOD,media/selectedSource/Bluetooth
109,pnc/interactionData/interactionEvent,/media/selectedSource,Memos iPhone::BTIPOD,media/selectedSource/Bluetooth
160,pnc/interactionData/interactionEvent,/media/selectedSource,SW::BTIPOD,media/selectedSource/Bluetooth
232,pnc/interactionData/interactionEvent,/media/selectedSource,PAG iPhone Yazici::IPOD,media/selectedSource/Bluetooth
309,pnc/interactionData/interactionEvent,/media/selectedSource,iPhone (6)::IPOD,media/selectedSource/Bluetooth
0,pnc/interactionData/interactionEvent,/media/selectedSource,iPhone::BTIPOD,media/selectedSource/Bluetooth
905,pnc/interactionData/interactionEvent,/media/selectedSource,iPhone Sarah::IPOD,media/selectedSource/Bluetooth
31,pnc/interactionData/interactionEvent,/media/selectedSource,iPhone von SC::BTIPOD,media/selectedSource/Bluetooth
114,pnc/interactionData/interactionEvent,/media/selectedSource,iPhone von Ann-Kathrin::BTIPOD,media/selectedSource/Bluetooth
121,pnc/interactionData/interactionEvent,/media/selectedSource,iPhone von Ann-Kathrin::IPOD,media/selectedSource/Bluetooth
2381,pnc/interactionData/interactionEvent,/media/selectedSource,iPhone FM::BTIPOD,media/selectedSource/Bluetooth
630,pnc/interactionData/interactionEvent,/media/selectedSource,iPhone SC PAG 11::BTIPOD,media/selectedSource/Bluetooth
660,pnc/interactionData/interactionEvent,/media/selectedSource,RSE C26F::BLUETOOTH,media/selectedSource/Bluetooth
659,pnc/interactionData/interactionEvent,/media/selectedSource,iPhone gesch FM::BTIPOD,media/selectedSource/Bluetooth
1778,pnc/interactionData/interactionEvent,/media/selectedSource,𝐼𝑝ℎ𝑜𝑛𝑒 𝑣𝑜𝑛 𝐿𝑖𝑛𝑑𝑎 🫶🏼::IPOD,media/selectedSource/Bluetooth
1756,pnc/interactionData/interactionEvent,/media/selectedSource,iPhone von kevin Dienst::BTIPOD,media/selectedSource/Bluetooth
317,pnc/interactionData/interactionEvent,/media/selectedSource,iPhone (2)::BTIPOD,media/selectedSource/Bluetooth
271,pnc/interactionData/interactionEvent,/media/selectedSource,iPod touch von Eva::IPOD,media/selectedSource/Bluetooth
26,pnc/interactionData/interactionEvent,/media/selectedSource,iPhone von SC::IPOD,media/selectedSource/Bluetooth
116,pnc/interactionData/interactionEvent,/media/selectedSource,iPhone Sophia (2)::IPOD,media/selectedSource/Bluetooth
